,candidate_id,name,state,party,office,candidate_status,district,election_year,incumbent_challenge_full,has_raised_funds,amount_raised,amount_spent,cash_on_hand_end_period,debts_owed_by_committee,coverage_end_date,is_election,federal_funds_flag
34,H0OR05104,"COURSER, AMY RYAN",OR,REPUBLICAN,House,present-candidate,05,2020,Challenger,True,12353.56,9041.41,3312.15,54661.78,2020-06-30,True,False
35,H8NV02095,"KOBLE, CLINT MATTHEW MR.",NV,DEMOCRATE,House,present-candidate,02,2020,Challenger,True,142419.53,142863.32,-1061.68,35922.68,2020-06-30,True,False
36,H6CO01141,"DEGETTE, DIANA L",CO,DEMOCRATE,House,present-candidate,01,2020,Incumbent,True,862780.79,762583.53,253674.85,0.0,2020-06-30,True,False
37,H0GA07257,"BULLOCK, BENJAMIN E.",GA,REPUBLICAN,House,present-candidate,14,2020,Open seat,True,373311.45,369898.87,3412.58,0.0,2020-06-30,True,False
38,H0NC09294,"SOUTHERLAND, HARRY",NC,DEMOCRATE,House,present-candidate,09,2020,Challenger,True,24844.21,24910.26,6133.01,0.0,2020-06-30,True,False
39,H0MD04145,"BRYANT, SHELIA",MD,DEMOCRATE,House,present-candidate,04,2020,Challenger,True,68724.67,50330.59,3880.08,20000.0,2020-06-30,True,False
40,H0IL12100,"LENZI, RAYMOND CARL DR.",IL,DEMOCRATE,House,present-candidate,12,2020,Challenger,True,83809.57,75874.49,9322.23,0.0,2020-06-30,True,False
41,H0NV04056,"SUTTON, LISA SONG",NV,REPUBLICAN,House,present-candidate,04,2020,Challenger,True,424766.84,401862.97,22903.87,0.0,2020-06-30,True,False
42,H0CA47141,"WEST, AMY PHAN",CA,REPUBLICAN,House,present-candidate,47,2020,Challenger,True,39395.98,13291.81,26104.17,0.0,2020-06-30,True,False
43,H0NJ06248,"AL-KHATAHTBEH, AMANI",NJ,DEMOCRATE,House,present-candidate,06,2020,Challenger,True,25020.8,15928.26,9092.54,0.0,2020-06-30,True,False
44,H0VA05178,"RUSSO, CLAIRE",VA,DEMOCRATE,House,present-candidate,05,2020,Challenger,True,728935.47,646727.79,82207.68,0.0,2020-06-30,True,False
45,H8VA01147,"WITTMAN, ROBERT J MR.",VA,REPUBLICAN,House,present-candidate,01,2020,Incumbent,True,1119926.58,826589.31,651258.63,0.0,2020-06-30,True,False
46,H0CA18068,"KUMAR, RISHI",CA,DEMOCRATE,House,present-candidate,18,2020,Challenger,True,431833.14,421138.06,10695.08,95000.0,2020-06-30,True,False
47,S0OK00347,"STITT, JJ MR.",OK,REPUBLICAN,Senate,present-candidate,00,2020,Challenger,True,46301.38,23065.57,22373.66,0.0,2020-06-30,True,False
48,S0CO00435,"GARCIA, LORENA LORENA FOR",CO,DEMOCRATE,Senate,present-candidate,00,2020,Challenger,True,142185.47,155309.83,-13114.36,0.0,2020-06-30,True,False
49,H8UT04053,"MCADAMS, BEN",UT,DEMOCRATE,House,present-candidate,04,2020,Incumbent,True,3435724.73,900125.22,2613971.68,0.0,2020-06-30,True,False
50,H8IN05188,"THORNTON, DIERDRE",IN,DEMOCRATE,House,present-candidate,05,2020,Open seat,True,75618.51,84532.01,28449.15,0.0,2020-06-30,True,False
51,H0CA44189,"EARLEY, BILLY",CA,REPUBLICAN,House,present-candidate,44,2020,Challenger,True,29579.95,29579.95,0.0,0.0,2020-07-16,True,False
52,H0IL04081,"SOLORIO, JESUS EDUARDO JR",IL,REPUBLICAN,House,not-yet-a-candidate,04,2020,Challenger,True,755.0,0.49,754.51,0.0,2020-06-30,True,False
53,H8KY02080,"LINDERMAN, HANK",KY,DEMOCRATE,House,present-candidate,02,2020,Challenger,True,46937.05,30122.42,26030.74,0.0,2020-06-30,True,False
54,P00016204,"LEWIS, BILLY R MR III",US,AMERICAN INDEPENDENT PARTY,President,not-yet-a-candidate,00,2020,Challenger,False,0.0,0.0,0.0,0.0,,True,False
55,H4KY06163,"YOUNG, GEOFFREY M",KY,REPUBLICAN,House,present-candidate,06,2020,Challenger,True,8309.66,10855.06,-2545.4,10905.42,2020-06-30,True,False
